"TradingDay","OrderLocalID","OrderSysID","FrontID","SessionID","OrderRef","InvestorID","BusinessUnitID","MarketID","ShareholderID","AccountID","CurrencyID","ExchangeID","SecurityID","OrderPriceType","TimeCondition","VolumeCondition","MinVolume","Direction","Price","VolumeTotalOriginal","VolumeTraded","VolumeCanceled","OrderSysStatus","OrderStatus","OrderSubmitStatus","ExchErrorMsg","ErrorID","BranchID","PbuID","OperatorID","InsertDate","InsertTime","CancelTime","ActiveTraderID","ActiveUserID","UserProductInfo","OuterIPAddress","MacAddress","RequestID","CombOffsetFlag","CombHedgeFlag","TradingCodeClass","TransfereePbuID","SpecialBizFlag","UserForceClose","LotType","ForceCloseReason","TerminalInfo","HDSerial","BInfo","SInfo","IInfo","InsertMillisec","Operway","DepartmentID","ProperCtrlBusinessType","ProperCtrlPassFlag","CondCheck","RecordNumber","IsCacheOrder","Turnover","ExchVolume","MeasureIndex","RtnFloatInfo","RtnIntInfo","Mobile","InnerIPAddress","OrderType","TraderOfferID","GTDate"
"20200604","H100000571","12002H100000571","1","-784400356","000005810133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000858","2","3","1","0","1","158.3900000000@15ae47e17acc6340","100","0","100","4","5","3","","0","H1","395917","398000011060","20200604","09:32:07","09:32:07","395917","398000011060","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","71","3","3980","","","","0","0","0.0000000000@0000000000000000","100","512","2032734.8809500171@b9f085e15e043f41","3008","","10.224.78.44","0","1",""
"20200604","H100000575","12002H100000575","1","-784400356","000005860133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002456","2","3","1","0","0","16.5400000000@0bd7a3703d8a3040","500","500","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:07","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","272","3","3980"," "," ","","0","0","8265.0000000000@000000008024c040","500","513","2024467.8080945171@4348dfce13e43e41","2900","","10.224.78.44","0","1",""
"20200604","H100000576","12002H100000576","1","-784400356","000005880133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002456","2","3","1","0","0","16.5400000000@0bd7a3703d8a3040","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:07","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","776","3","3980"," "," ","","0","0","1654.0000000000@0000000000d89940","100","514","2022813.3132847170@5e6d33509ddd3e41","2900","","10.224.78.44","0","1",""
"20200604","H100000577","12002H100000577","1","-784400356","000005910133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000651","2","3","1","0","1","58.8700000000@8fc2f5285c6f4d40","2100","2100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:09","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","887","3","3980","","","","0","0","123627.0000000000@00000000b02efe40","2100","516","2146287.1765198167@8c339896f75f4041","8531","","10.224.78.44","0","1",""
"20200604","H100000578","12002H100000578","1","-784400356","000005930133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000651","2","3","1","0","1","58.8600000000@ae47e17a146e4d40","3600","3600","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:09","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","987","3","3980","","","","0","0","211932.0000000000@00000000e0de0941","3600","517","2357956.6563514168@bf52035462fd4141","4931","","10.224.78.44","0","1",""
"20200604","H100000579","12002H100000579","1","-784400356","000005950133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","300413","2","3","1","0","1","52.2000000000@9a99999999194a40","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:10","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","890","3","3980","","","","0","0","5220.0000000000@000000000064b440","100","518","2363170.1903374167@faf95c1891074241","700","","10.224.78.44","0","1",""
"20200604","H100000580","12002H100000580","1","-784400356","000005970133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002555","2","3","1","0","0","33.3900000000@52b81e85ebb14040","300","300","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:13","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","4","3","3980"," "," ","","0","0","10017.0000000000@000000008090c340","300","519","2344140.4490699167@7f1f7b3966e24141","1700","","10.224.78.44","0","1",""
"20200604","H100000581","12002H100000581","1","-784400356","000005990133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000538","2","3","1","0","0","90.0800000000@85eb51b81e855640","100","0","100","4","5","3","","0","H1","395917","398000011060","20200604","09:32:13","09:32:14","395917","398000011060","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","4","3","3980"," "," ","","0","0","0.0000000000@0000000000000000","100","520","2361498.3069928163@658a4b274d044241","999999999","","10.224.78.44","0","1",""
"20200604","H100000582","12002H100000582","1","-784400356","000006010133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002555","2","3","1","0","0","33.3900000000@52b81e85ebb14040","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:13","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","4","3","3980"," "," ","","0","0","3339.0000000000@000000000016aa40","100","521","2361498.3069928163@658a4b274d044241","1700","","10.224.78.44","0","1",""
"20200604","H100000583","12002H100000583","1","-784400356","000006030133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","300015","2","3","1","0","1","39.0000000000@0000000000804340","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:13","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","508","3","3980","","","","0","0","3900.0000000000@000000000078ae40","100","522","2344695.7211206164@2cae4ddc7be34141","2200","","10.224.78.44","0","1",""
